Posicao,Nome,Qnt-Normal,Qnt-FULL,Media-Preco,Mediana-Preco,Media-Vendas,Mediana-Vendas,Link,GoogleTrends,scrapy_datetime
1º MAIOR CRESCIMENTO,meia beach tennis,245,105,96.67,102,37,28,https://lista.mercadolivre.com.br/meia-beach-tennis,https://trends.google.com.br/trends/explore?geo=BR&q=meia beach tennis,2022-05-22 13:41:24
2º MAIOR CRESCIMENTO,bandana tubular,1,16,50.33,38,919,145,https://lista.mercadolivre.com.br/bandana-tubular,https://trends.google.com.br/trends/explore?geo=BR&q=bandana tubular,2022-05-22 13:41:24
3º MAIOR CRESCIMENTO,roupa camuflada,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/roupa-camuflada,NA,2022-05-22 13:41:24
4º MAIOR CRESCIMENTO,bicicleta triciclo,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/bicicleta-triciclo,NA,2022-05-22 13:41:24
5º MAIOR CRESCIMENTO,camelbak,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/camelbak,NA,2022-05-22 13:41:24
6º MAIOR CRESCIMENTO,bermuda termica masculina,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/bermuda-termica-masculina,NA,2022-05-22 13:41:24
7º MAIOR CRESCIMENTO,arpao pesca,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/arpao-pesca,NA,2022-05-22 13:41:24
8º MAIOR CRESCIMENTO,kit sobrevivencia completo,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/kit-sobrevivencia-completo,NA,2022-05-22 13:41:24
9º MAIOR CRESCIMENTO,garrafa personalizada,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/garrafa-personalizada,NA,2022-05-22 13:41:24
10º MAIOR CRESCIMENTO,quechua,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/quechua,NA,2022-05-22 13:41:24
